,TPR,FPR,TPR_clear,FPR_clear
306,0.7748248,0.049821723,0.95017827,0.22517522
307,0.77457684,0.049725596,0.9502744,0.22542314
308,0.7743212,0.049678795,0.9503212,0.22567879
309,0.7740425,0.04963579,0.95036423,0.22595751
310,0.77381456,0.049576346,0.95042366,0.22618544
311,0.77357584,0.049463775,0.95053625,0.22642413
312,0.7733018,0.04939421,0.9506058,0.22669825
313,0.7730138,0.049317054,0.95068294,0.22698621
314,0.7727027,0.04924749,0.9507525,0.22729729
315,0.77245474,0.049191836,0.95080817,0.22754523
316,0.7721098,0.04909318,0.9509068,0.2278902
317,0.77177715,0.04903247,0.95096755,0.22822282
318,0.7715138,0.048964165,0.95103586,0.22848615
319,0.77124745,0.04888701,0.951113,0.22875257
320,0.7710226,0.048814915,0.9511851,0.22897741
321,0.77075773,0.04874282,0.95125717,0.22924228
322,0.7704744,0.048670724,0.9513293,0.22952564
323,0.7701525,0.048572067,0.95142794,0.22984749
324,0.76987994,0.048489854,0.95151013,0.23012008
325,0.76952267,0.048429143,0.95157087,0.23047735
326,0.769247,0.048354518,0.9516455,0.230753
327,0.76893747,0.04829001,0.95171,0.23106253
328,0.7686156,0.04821159,0.9517884,0.2313844
329,0.7682722,0.048102815,0.9518972,0.23172781
330,0.76791185,0.048011746,0.9519883,0.23208816
331,0.767513,0.0479055,0.9520945,0.23248701
332,0.76719266,0.04784985,0.95215017,0.23280732
333,0.76680154,0.047748663,0.9522513,0.23319848
334,0.7663873,0.047674038,0.95232594,0.23361273
335,0.7660377,0.047574118,0.9524259,0.23396231
336,0.76570195,0.04749696,0.952503,0.23429802
337,0.76533085,0.04739451,0.9526055,0.23466916
338,0.7649674,0.047299646,0.9527004,0.23503259
339,0.7646132,0.04720858,0.9527914,0.23538679
340,0.7642513,0.0471251,0.9528749,0.23574868
341,0.76386786,0.047002412,0.95299757,0.23613213
342,0.76348597,0.046930317,0.9530697,0.23651405
343,0.76304245,0.046845574,0.95315444,0.23695756
344,0.7625573,0.04674565,0.95325434,0.23744266
345,0.7620199,0.046620432,0.9533796,0.23798011
346,0.76167804,0.046554662,0.9534453,0.23832197
347,0.76125914,0.04647498,0.953525,0.23874086
348,0.76083255,0.04638138,0.95361865,0.23916742
349,0.7604383,0.046311814,0.9536882,0.23956166
350,0.7599794,0.04623719,0.9537628,0.24002057
351,0.7594589,0.046130944,0.95386904,0.24054109
352,0.7590185,0.04603102,0.953969,0.24098152
353,0.758441,0.045898214,0.9541018,0.24155901
354,0.7579405,0.045800824,0.9541992,0.2420595
355,0.7573707,0.045670543,0.95432943,0.24262929
356,0.75679165,0.045531414,0.9544686,0.24320832
357,0.75626194,0.045425165,0.9545748,0.24373807
358,0.7557291,0.045298684,0.9547013,0.2442709
359,0.75521475,0.045154493,0.9548455,0.24478526
360,0.7546511,0.045029275,0.9549707,0.24534889
361,0.75405514,0.044911645,0.9550884,0.24594486
362,0.7535038,0.04478263,0.95521736,0.24649617
363,0.7528232,0.044628322,0.9553717,0.24717684
364,0.75212556,0.044487927,0.95551205,0.24787445
365,0.7515311,0.04433994,0.95566005,0.24846888
366,0.7508335,0.044157807,0.9558422,0.24916649
367,0.7500743,0.043995906,0.9560041,0.2499257
368,0.74929357,0.04385045,0.9561496,0.25070646
369,0.7485451,0.04364808,0.95635194,0.2514549
370,0.7476627,0.04350515,0.95649487,0.2523373
371,0.7468696,0.043336928,0.9566631,0.25313038
372,0.7460781,0.043225624,0.95677435,0.25392193
373,0.745171,0.043021988,0.956978,0.254829
374,0.74438566,0.04284238,0.9571576,0.25561437
375,0.743591,0.042676687,0.9573233,0.256409
376,0.7425854,0.042479374,0.9575206,0.2574146
377,0.7415398,0.042326327,0.95767367,0.25846025
378,0.74046487,0.04216443,0.95783556,0.25953513
379,0.73941,0.041908935,0.9580911,0.26059002
380,0.7382042,0.041672412,0.9583276,0.26179582
381,0.7369106,0.04144348,0.95855653,0.26308942
382,0.7353444,0.0411513,0.9588487,0.26465556
383,0.73392,0.04091604,0.959084,0.26608005
384,0.732343,0.040682048,0.9593179,0.26765698
385,0.7306999,0.040392403,0.9596076,0.26930013
386,0.7288073,0.040053427,0.9599466,0.27119276
387,0.7268114,0.039735954,0.960264,0.27318856
