,TPR,FPR,TPR_clear,FPR_clear
0,1.0,1.0,0.0,0.0
1,0.9624148,0.3340198,0.66598016,0.03758518
2,0.9559905,0.2797475,0.7202525,0.044009488
3,0.95198286,0.25728208,0.7427179,0.04801717
4,0.9490859,0.24367361,0.7563264,0.050914112
5,0.94681937,0.23325527,0.76674473,0.05318063
6,0.94500315,0.2252194,0.7747806,0.054996848
7,0.9435472,0.21909492,0.78090507,0.056452822
8,0.9423314,0.21373768,0.78626233,0.057668637
9,0.9410255,0.2092823,0.7907177,0.058974512
10,0.9397196,0.20508264,0.79491735,0.060280386
11,0.9387289,0.2012599,0.7987401,0.061271053
12,0.93749815,0.19805633,0.80194366,0.06250188
13,0.9367326,0.19528347,0.8047165,0.06326739
14,0.9356669,0.19294137,0.80705863,0.0643331
15,0.9348714,0.19069348,0.8093065,0.06512864
16,0.93419594,0.18886286,0.81113714,0.06580409
17,0.93364054,0.18680343,0.8131966,0.06635946
18,0.9330702,0.1848382,0.81516176,0.06692984
19,0.9325448,0.18302105,0.81697893,0.067455195
20,0.93173426,0.18125774,0.8187423,0.068265736
21,0.931299,0.17973672,0.82026327,0.06870103
22,0.9308187,0.17837721,0.8216228,0.06918135
23,0.9300531,0.17689657,0.8231034,0.06994686
24,0.9295428,0.17551015,0.82448983,0.070457205
25,0.9291225,0.17420448,0.82579553,0.070877485
26,0.9286272,0.17293921,0.82706076,0.07137282
27,0.9281919,0.17186238,0.82813764,0.071808115
28,0.92771155,0.1710413,0.8289587,0.07228843
29,0.92708117,0.1698837,0.8301163,0.072918855
30,0.9267509,0.16892801,0.831072,0.07324908
31,0.92630064,0.16795887,0.83204114,0.07369938
32,0.92603046,0.1671647,0.8328353,0.07396956
33,0.92570025,0.16606095,0.8339391,0.07429978
34,0.925385,0.16517256,0.8348274,0.074614994
35,0.9250097,0.16441879,0.83558124,0.07499024
36,0.92469454,0.1635304,0.8364696,0.075305454
37,0.92427427,0.16272277,0.83727723,0.075725734
38,0.92398906,0.16192861,0.8380714,0.07601093
39,0.92371887,0.16125558,0.8387444,0.07628111
40,0.92332864,0.16058257,0.83941746,0.07667137
41,0.9230284,0.16007107,0.8399289,0.07697157
42,0.92260814,0.15937112,0.84062886,0.077391855
43,0.92235297,0.15868466,0.8413153,0.07764702
44,0.9217826,0.158227,0.84177303,0.0782174
45,0.9214974,0.15750013,0.84249985,0.078502595
46,0.9211972,0.15708286,0.84291714,0.078802794
47,0.920912,0.15640984,0.84359014,0.07908799
48,0.9205968,0.15593873,0.84406126,0.0794032
49,0.92035663,0.15538685,0.84461313,0.07964336
50,0.92008644,0.15479459,0.8452054,0.07991354
51,0.91977125,0.15429656,0.8457034,0.08022875
52,0.91950107,0.15387928,0.8461207,0.080498934
53,0.9191859,0.15347548,0.84652454,0.080814146
54,0.9188556,0.15297744,0.84702253,0.08114437
55,0.91857046,0.15256017,0.8474398,0.081429556
56,0.9183453,0.15215635,0.84784365,0.081654705
57,0.91812015,0.15168524,0.84831476,0.08187986
58,0.9177449,0.15121412,0.8487859,0.08225511
59,0.9174297,0.15083724,0.84916276,0.08257032
60,0.9171445,0.1503392,0.8496608,0.082855515
61,0.9169344,0.15007,0.84993,0.08306565
62,0.9167242,0.14962581,0.8503742,0.083275795
63,0.916439,0.14924891,0.8507511,0.08356099
64,0.91621387,0.1487778,0.8512222,0.08378614
65,0.91607875,0.14837398,0.85162604,0.083921224
66,0.9158236,0.14811824,0.85188174,0.0841764
67,0.9156135,0.14766058,0.85233945,0.08438654
68,0.9154634,0.14720292,0.8527971,0.08453664
69,0.91532826,0.14679912,0.8532009,0.08467173
70,0.9151782,0.14635493,0.8536451,0.08482183
71,0.914968,0.14609918,0.85390085,0.08503197
72,0.9147429,0.14574921,0.8542508,0.08525712
73,0.91468287,0.14538577,0.8546142,0.085317165
74,0.9144877,0.14507619,0.8549238,0.085512295
75,0.9143526,0.1447666,0.85523343,0.08564738
76,0.91426253,0.1444974,0.8555026,0.085737444
77,0.9140974,0.14421472,0.85578525,0.08590256
78,0.91390234,0.14405319,0.8559468,0.08609769
79,0.9136021,0.1437167,0.8562833,0.08639789
80,0.913452,0.14342056,0.8565794,0.086547986
81,0.91322684,0.1430975,0.8569025,0.086773135
82,0.9130017,0.14281484,0.8571852,0.08699829
83,0.91279155,0.14263986,0.8573601,0.08720843
84,0.9125664,0.14222258,0.8577774,0.087433584
85,0.91246134,0.14195338,0.85804665,0.08753865
86,0.91225123,0.1416707,0.8583293,0.08774879
87,0.91208607,0.1414015,0.85859853,0.0879139
88,0.911906,0.1411592,0.85884076,0.088094026
89,0.9116058,0.14097077,0.85902923,0.088394225
90,0.9115007,0.14066118,0.8593388,0.08849929
91,0.9113356,0.14033812,0.8596619,0.088664405
92,0.91127557,0.14016314,0.8598369,0.08872444
93,0.91111046,0.13993432,0.8600657,0.088889554
94,0.9110204,0.13977279,0.8602272,0.08897962
95,0.9109003,0.1395305,0.8604695,0.0890997
96,0.91076523,0.1393286,0.8606714,0.089234784
97,0.9106902,0.13907285,0.86092716,0.089309834
98,0.91051006,0.13892478,0.8610752,0.08948996
99,0.9103149,0.13883056,0.86116946,0.08968509
100,0.9103149,0.13883056,0.86116946,0.08968509
101,0.9093693,0.13736337,0.8626366,0.090630725
102,0.90830356,0.13584235,0.8641577,0.09169643
103,0.90741795,0.1346713,0.8653287,0.09258203
